id,source_family,path,aggregate_files,scope,status
thesis_fusion_mechanism_closure_v2,data/runs/mad_etd_thesis_fusion_mechanism_closure_v2,thesis/data/runs/mad_etd_thesis_fusion_mechanism_closure_v2,6,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_fusion_ranking_sensitivity_v1,data/runs/mad_etd_thesis_fusion_ranking_sensitivity_v1,thesis/data/runs/mad_etd_thesis_fusion_ranking_sensitivity_v1,4,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_hitl_protocol_closure_v1,data/runs/mad_etd_thesis_hitl_protocol_closure_v1,thesis/data/runs/mad_etd_thesis_hitl_protocol_closure_v1,1,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_method_closure_v34,data/runs/mad_etd_thesis_method_closure_v34,thesis/data/runs/mad_etd_thesis_method_closure_v34,8,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_nfiot_matched_coverage_v1,data/runs/mad_etd_thesis_nfiot_matched_coverage_v1,thesis/data/runs/mad_etd_thesis_nfiot_matched_coverage_v1,4,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_reviewer_closure_v24,data/runs/mad_etd_thesis_reviewer_closure_v24,thesis/data/runs/mad_etd_thesis_reviewer_closure_v24,276,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_routing_branch_coverage_v1,data/runs/mad_etd_thesis_routing_branch_coverage_v1,thesis/data/runs/mad_etd_thesis_routing_branch_coverage_v1,3,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_routing_closure_v2,data/runs/mad_etd_thesis_routing_closure_v2,thesis/data/runs/mad_etd_thesis_routing_closure_v2,4,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_routing_reason_replay_v1,data/runs/mad_etd_thesis_routing_reason_replay_v1,thesis/data/runs/mad_etd_thesis_routing_reason_replay_v1,2,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_ustc_statistical_closure_v1,data/runs/mad_etd_thesis_ustc_statistical_closure_v1,thesis/data/runs/mad_etd_thesis_ustc_statistical_closure_v1,5,historical_thesis_evidence,recorded_files_not_a_new_reproduction
v8_external_faithful_reproduction,data/runs/mad_etd_v8_external_faithful_reproduction,thesis/data/runs/mad_etd_v8_external_faithful_reproduction,12,historical_thesis_evidence,recorded_files_not_a_new_reproduction
ustc_tfc2016,data/runs/ustc_tfc2016,thesis/data/runs/ustc_tfc2016,310,historical_thesis_evidence,recorded_files_not_a_new_reproduction
baseline_upgrade,output/thesis_luna_team_20260922/next_round/baseline_upgrade,thesis/output/thesis_luna_team_20260922/next_round/baseline_upgrade,4,thesis_development_extension,recorded_files_not_a_new_reproduction
decision_headroom_v61,output/thesis_luna_team_20260922/next_round/decision_headroom_v61,thesis/output/thesis_luna_team_20260922/next_round/decision_headroom_v61,2,thesis_development_extension,recorded_files_not_a_new_reproduction
gain_upgrade,output/thesis_luna_team_20260922/next_round/gain_upgrade,thesis/output/thesis_luna_team_20260922/next_round/gain_upgrade,5,thesis_development_extension,recorded_files_not_a_new_reproduction
group_support,output/thesis_luna_team_20260922/next_round/group_support,thesis/output/thesis_luna_team_20260922/next_round/group_support,5,thesis_development_extension,recorded_files_not_a_new_reproduction
independent_validation_v61,output/thesis_luna_team_20260922/next_round/independent_validation_v61,thesis/output/thesis_luna_team_20260922/next_round/independent_validation_v61,2,thesis_development_extension,recorded_files_not_a_new_reproduction
jev_gain_v61,output/thesis_luna_team_20260922/next_round/jev_gain_v61,thesis/output/thesis_luna_team_20260922/next_round/jev_gain_v61,7,thesis_development_extension,recorded_files_not_a_new_reproduction
llm_atomic_v61,output/thesis_luna_team_20260922/next_round/llm_atomic_v61,thesis/output/thesis_luna_team_20260922/next_round/llm_atomic_v61,1,thesis_development_extension,recorded_files_not_a_new_reproduction
llm_gain_v61,output/thesis_luna_team_20260922/next_round/llm_gain_v61,thesis/output/thesis_luna_team_20260922/next_round/llm_gain_v61,5,thesis_development_extension,recorded_files_not_a_new_reproduction
outer_confirmation_v62,output/thesis_luna_team_20260922/next_round/outer_confirmation_v62,thesis/output/thesis_luna_team_20260922/next_round/outer_confirmation_v62,5,thesis_development_extension,recorded_files_not_a_new_reproduction
prefix_runtime_v62,output/thesis_luna_team_20260922/next_round/prefix_runtime_v62,thesis/output/thesis_luna_team_20260922/next_round/prefix_runtime_v62,3,thesis_development_extension,recorded_files_not_a_new_reproduction
risk_upgrade,output/thesis_luna_team_20260922/next_round/risk_upgrade,thesis/output/thesis_luna_team_20260922/next_round/risk_upgrade,5,thesis_development_extension,recorded_files_not_a_new_reproduction
runtime_protocol,output/thesis_luna_team_20260922/next_round/runtime_protocol,thesis/output/thesis_luna_team_20260922/next_round/runtime_protocol,1,thesis_development_extension,recorded_files_not_a_new_reproduction
runtime_upgrade,output/thesis_luna_team_20260922/next_round/runtime_upgrade,thesis/output/thesis_luna_team_20260922/next_round/runtime_upgrade,3,thesis_development_extension,recorded_files_not_a_new_reproduction
planner,output/thesis_luna_team_20260922/planner,thesis/output/thesis_luna_team_20260922/planner,2,thesis_development_extension,recorded_files_not_a_new_reproduction
protocol,output/thesis_luna_team_20260922/protocol,thesis/output/thesis_luna_team_20260922/protocol,11,thesis_development_extension,recorded_files_not_a_new_reproduction
verified_prefix_and_outer,verified_prefix_and_outer,thesis/results/verified_prefix_and_outer,5,thesis_development_extension,recorded_files_not_a_new_reproduction
