capture_id,capture_group_id,role,binary_label,browser,tool,resolver,csv_archive,csv_entry,csv_candidate_entries,csv_pair_mode,pcap_path,pcap_sha256,pcap_size_bytes,archive_name,archive_sha256,archive_member,member_crc32,member_size_bytes,relative_path,w84_historical_role,w71_historical_role,w71_locked_test_member,w282_w285_overlap,freshness_scope,alignment_only_fields_enter_detector_input
w287-malicious-fb3557380352d1698a,w287-malicious-fb3557380352d1698a,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T09:39:17.213477.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T09_39_17.213477.pcap,,28295,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T09:39:17.213477.pcap,21788e0e,28295,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T09:39:17.213477.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-1c29c7fe6bc42865e1,w287-malicious-1c29c7fe6bc42865e1,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T08:16:20.531174.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T08_16_20.531174.pcap,,27756,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T08:16:20.531174.pcap,e500c9b8,27756,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T08:16:20.531174.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-8f8e06f754e34b38e9,w287-malicious-8f8e06f754e34b38e9,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T21:38:11.198048.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T21_38_11.198048.pcap,,27847,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T21:38:11.198048.pcap,54341976,27847,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T21:38:11.198048.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-3d8ddb2392b49521e3,w287-malicious-3d8ddb2392b49521e3,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T08:43:59.614731.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T08_43_59.614731.pcap,,27669,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T08:43:59.614731.pcap,be62aeb9,27669,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T08:43:59.614731.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-b46e65d9ee030624a4,w287-malicious-b46e65d9ee030624a4,independent_robustness_acceptance,malicious,,dnscat2,quad9,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T11:38:50.161411.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh7_2020-03-25T11_38_50.161411.pcap,,3280735,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh7_2020-03-25T11:38:50.161411.pcap,c9a0d401,3280735,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh7_2020-03-25T11:38:50.161411.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-e4a5c223c6a7f24f94,w287-malicious-e4a5c223c6a7f24f94,independent_robustness_acceptance,malicious,,dnscat2,quad9,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T00:27:02.550661.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh10_2020-03-25T00_27_02.550661.pcap,,3231442,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh10_2020-03-25T00:27:02.550661.pcap,7169e16c,3231442,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh10_2020-03-25T00:27:02.550661.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-bca06bc1427829ac6a,w287-malicious-bca06bc1427829ac6a,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T23:01:03.648797.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T23_01_03.648797.pcap,,2109023,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T23:01:03.648797.pcap,79fe30f0,2109023,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T23:01:03.648797.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-fe133f78d42369e9a2,w287-malicious-fe133f78d42369e9a2,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T11:29:57.323931.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T11_29_57.323931.pcap,,2120417,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T11:29:57.323931.pcap,7b39e47d,2120417,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T11:29:57.323931.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-e4436eb66cdfe7ce4a,w287-malicious-e4436eb66cdfe7ce4a,independent_robustness_acceptance,malicious,,dnscat2,quad9,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T10:43:12.611689.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh10_2020-03-25T10_43_12.611689.pcap,,3216050,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh10_2020-03-25T10:43:12.611689.pcap,ba64c281,3216050,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh10_2020-03-25T10:43:12.611689.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-49169ad8fb0fbb5342,w287-malicious-49169ad8fb0fbb5342,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T04:04:43.986984.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T04_04_43.986984.pcap,,27582,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T04:04:43.986984.pcap,5830da44,27582,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T04:04:43.986984.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-b879dd94767d6de2d6,w287-malicious-b879dd94767d6de2d6,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T05:55:04.418096.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T05_55_04.418096.pcap,,2105011,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T05:55:04.418096.pcap,e4f8135f,2105011,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T05:55:04.418096.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-47a95a89c1b609c564,w287-malicious-47a95a89c1b609c564,independent_robustness_acceptance,malicious,,dnscat2,quad9,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T10:43:11.664415.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh9_2020-03-25T10_43_11.664415.pcap,,3233419,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh9_2020-03-25T10:43:11.664415.pcap,727ff2bb,3233419,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh9_2020-03-25T10:43:11.664415.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-0422b1ef0f411bfa57,w287-malicious-0422b1ef0f411bfa57,independent_robustness_acceptance,malicious,,dnscat2,quad9,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T19:34:05.023650.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh8_2020-03-25T19_34_05.023650.pcap,,2449977,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh8_2020-03-25T19:34:05.023650.pcap,2db0f1f8,2449977,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh8_2020-03-25T19:34:05.023650.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-faf9feead6b6a06ddd,w287-malicious-faf9feead6b6a06ddd,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-28T17:29:20.326591.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-28T17_29_20.326591.pcap,,27769,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-28T17:29:20.326591.pcap,0264efa4,27769,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-28T17:29:20.326591.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-2a5b2bcf69b09b8bf4,w287-malicious-2a5b2bcf69b09b8bf4,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T18:52:13.688101.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T18_52_13.688101.pcap,,27938,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T18:52:13.688101.pcap,80f45a7e,27938,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T18:52:13.688101.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-4856c20da5ef383423,w287-malicious-4856c20da5ef383423,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T23:56:16.933701.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T23_56_16.933701.pcap,,27688,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T23:56:16.933701.pcap,f0f7a306,27688,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T23:56:16.933701.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-315bc436eaec91a607,w287-malicious-315bc436eaec91a607,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T07:21:03.860509.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T07_21_03.860509.pcap,,27514,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T07:21:03.860509.pcap,69117e5e,27514,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T07:21:03.860509.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
