capture_id,role,binary_label,browser,tool,resolver,official_csv_entry,official_csv_rows,tls_stream_count,non_doh_ood_only,aligned_supervised_doh,short_tls_stream
w287-malicious-fb3557380352d1698a,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T09:39:17.213477.csv,2,1,,1,
w287-malicious-1c29c7fe6bc42865e1,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T08:16:20.531174.csv,2,1,,1,
w287-malicious-8f8e06f754e34b38e9,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T21:38:11.198048.csv,2,1,,1,
w287-malicious-3d8ddb2392b49521e3,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T08:43:59.614731.csv,2,1,,1,
w287-malicious-b46e65d9ee030624a4,independent_robustness_acceptance,malicious,,dnscat2,quad9,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T11:38:50.161411.csv,6,1,,1,
w287-malicious-e4a5c223c6a7f24f94,independent_robustness_acceptance,malicious,,dnscat2,quad9,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T00:27:02.550661.csv,6,1,,1,
w287-malicious-bca06bc1427829ac6a,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T23:01:03.648797.csv,26,14,,14,
w287-malicious-fe133f78d42369e9a2,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T11:29:57.323931.csv,27,14,,14,
w287-malicious-e4436eb66cdfe7ce4a,independent_robustness_acceptance,malicious,,dnscat2,quad9,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T10:43:12.611689.csv,6,1,,1,
w287-malicious-49169ad8fb0fbb5342,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T04:04:43.986984.csv,2,1,,1,
w287-malicious-b879dd94767d6de2d6,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T05:55:04.418096.csv,26,14,,14,
w287-malicious-47a95a89c1b609c564,independent_robustness_acceptance,malicious,,dnscat2,quad9,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T10:43:11.664415.csv,6,1,,1,
w287-malicious-0422b1ef0f411bfa57,independent_robustness_acceptance,malicious,,dnscat2,quad9,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T19:34:05.023650.csv,6,1,,1,
w287-malicious-faf9feead6b6a06ddd,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-28T17:29:20.326591.csv,2,1,,1,
w287-malicious-2a5b2bcf69b09b8bf4,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T18:52:13.688101.csv,2,1,,1,
w287-malicious-4856c20da5ef383423,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T23:56:16.933701.csv,2,1,,1,
w287-malicious-315bc436eaec91a607,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T07:21:03.860509.csv,2,1,,1,
w287-malicious-ca5b5d0355e7e213b0,independent_robustness_acceptance,malicious,,dnscat2,quad9,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T08:23:31.664780.csv,6,1,,1,
w287-malicious-b5cbb08c92029987b8,independent_robustness_acceptance,malicious,,iodine,adguard,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsadguardcom_doh5_2020-03-23T03:04:05.026851.csv,7,2,,2,
w287-malicious-32b4f7379dd5ef5bcc,independent_robustness_acceptance,malicious,,iodine,quad9,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh5_2020-03-20T09:47:39.621519.csv,6,1,,1,
w287-malicious-453fb3bbc066713ac6,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh3_2020-03-20T10:22:10.985524.csv,7,1,,1,
w287-malicious-62f2f44f38df86a117,independent_robustness_acceptance,malicious,,iodine,adguard,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsadguardcom_doh3_2020-03-22T21:32:23.457408.csv,7,2,,2,
w287-malicious-8bed9c0883b6be5603,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh5_2020-03-20T11:07:57.588555.csv,7,1,,1,
w287-malicious-aacd6bf84aed586ab8,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh7_2020-03-20T04:15:55.142725.csv,7,1,,1,
w287-malicious-de4478b333f5409256,independent_robustness_acceptance,malicious,,iodine,quad9,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh5_2020-03-20T04:27:15.639906.csv,6,1,,1,
w287-malicious-70768296b1d5dd3d7c,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh1_2020-03-20T10:22:06.526606.csv,27,11,,11,
w287-malicious-edee8b5c78d2897ca8,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh3_2020-03-20T04:38:40.511911.csv,7,1,,1,
w287-malicious-1b4cbf09d524cc5b0d,independent_robustness_acceptance,malicious,,iodine,quad9,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh6_2020-03-20T09:24:38.962004.csv,6,1,,1,
w287-malicious-ac364523b2fc228422,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh1_2020-03-20T06:09:55.320594.csv,27,11,,11,
w287-malicious-eedf94bdb9bbecb708,independent_robustness_acceptance,malicious,,iodine,cloudflare,CSVs/iodine/Separate/iodine_null-64-tunnel_1111_doh10_2020-03-23T03:17:55.601682.csv,6,1,,1,
w287-malicious-e9bcb7e73fc0db7d94,independent_robustness_acceptance,malicious,,iodine,quad9,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh3_2020-03-20T07:29:46.234023.csv,6,1,,1,
w287-malicious-a00049f16180e25a1a,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh3_2020-03-20T05:01:28.146499.csv,7,1,,1,
w287-malicious-baa9590badd83f21e0,independent_robustness_acceptance,malicious,,iodine,quad9,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh6_2020-03-20T10:10:47.177595.csv,6,1,,1,
w287-malicious-2865de18de04161cd6,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh1_2020-03-20T11:07:52.356960.csv,27,11,,11,
w287-malicious-4ace32d3b0e1627f58,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh6_2020-03-20T10:22:17.492540.csv,7,1,,1,
w287-malicious-4383c34de5193626ad,independent_robustness_acceptance,malicious,,iodine,cloudflare,CSVs/iodine/Separate/iodine_null-64-tunnel_1111_doh9_2020-03-22T19:28:23.627992.csv,6,1,,1,
w287-malicious-d9916cb8798e059763,independent_robustness_acceptance,malicious,,iodine,cloudflare,CSVs/iodine/Separate/iodine_null-64-tunnel_1111_doh10_2020-03-23T01:55:08.569955.csv,6,1,,1,
w287-malicious-4af543582752cf2671,independent_robustness_acceptance,malicious,,iodine,adguard,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsadguardcom_doh5_2020-03-22T19:42:09.896700.csv,7,2,,2,
w287-malicious-d2168869532a7d9897,independent_robustness_acceptance,malicious,,iodine,google,CSVs/iodine/Separate/iodine_null-64-tunnel_dnsgoogle_doh7_2020-03-20T04:38:45.941699.csv,7,1,,1,
w287-malicious-b30cd615418b3a97df,independent_robustness_acceptance,malicious,,iodine,quad9,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh9_2020-03-20T09:24:42.864217.csv,6,1,,1,
w287-malicious-8e327dcdfe98838d1d,independent_robustness_acceptance,malicious,,iodine,quad9,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh2_2020-03-20T04:50:04.978806.csv,6,1,,1,
w287-malicious-2f1c61606a82a36e66,independent_robustness_acceptance,malicious,,iodine,quad9,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh2_2020-03-20T05:12:50.003758.csv,6,1,,1,
