case_state_hash,dataset_scope,repeat,real_llm_call,valid_guarded_plan,sanitized_plan,api_latency_ms,total_tokens,error
2411f81233861b864df6c6f784d7473ab676f5601b129637dbf42ac6af07329e,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
2411f81233861b864df6c6f784d7473ab676f5601b129637dbf42ac6af07329e,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
f7faf12138ca85eae31ef7b4c863ebd4ba97f95aec9017ba575f37861a93b1bd,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
f7faf12138ca85eae31ef7b4c863ebd4ba97f95aec9017ba575f37861a93b1bd,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
f7faf12138ca85eae31ef7b4c863ebd4ba97f95aec9017ba575f37861a93b1bd,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
9cf281ff62efb6c8e8a26e980283c1cea7a10cce24d56b37c8f3aa97bc1cc74e,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
9cf281ff62efb6c8e8a26e980283c1cea7a10cce24d56b37c8f3aa97bc1cc74e,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
9cf281ff62efb6c8e8a26e980283c1cea7a10cce24d56b37c8f3aa97bc1cc74e,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4faa6a1fca0acfa04c5fea25d1e1172206ecfc5c71bd32691908f04040129679,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4faa6a1fca0acfa04c5fea25d1e1172206ecfc5c71bd32691908f04040129679,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4faa6a1fca0acfa04c5fea25d1e1172206ecfc5c71bd32691908f04040129679,CICIoT2023,3,True,True,"{""requests"":[{""budget"":1,""expected_output"":""AgentEvidence"",""purpose"":""Analyze inter-arrival timing patterns and burst characteristics to validate benign classification from volume perspective"",""requested_agent"":""TimingBehaviorAgent""}],""stop"":false}",12068.301299994346,469,
366b666f178477f3db91e2ce04245d9b73a879ff57f5e86b3a6fda1aa2fc74bb,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
366b666f178477f3db91e2ce04245d9b73a879ff57f5e86b3a6fda1aa2fc74bb,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
366b666f178477f3db91e2ce04245d9b73a879ff57f5e86b3a6fda1aa2fc74bb,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ad41115267b00fac324907e01538725ec46abaa1e070857055c1d03116b20688,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ad41115267b00fac324907e01538725ec46abaa1e070857055c1d03116b20688,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ad41115267b00fac324907e01538725ec46abaa1e070857055c1d03116b20688,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c5f60ad13f21e63f44cc16eee234f216b86befb826b7c08656490bff74431b69,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c5f60ad13f21e63f44cc16eee234f216b86befb826b7c08656490bff74431b69,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c5f60ad13f21e63f44cc16eee234f216b86befb826b7c08656490bff74431b69,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
7ab894af4066579e1585a2caac954dbcf189f30725e89e479776f80ab58f5844,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
7ab894af4066579e1585a2caac954dbcf189f30725e89e479776f80ab58f5844,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
7ab894af4066579e1585a2caac954dbcf189f30725e89e479776f80ab58f5844,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
5eb7b63f7582e7dea29b3468c4d0f341a106a169c76c607d524e8135c8aca070,NF-IoT,1,True,True,"{""requests"":[{""budget"":1,""expected_output"":""AgentEvidence"",""purpose"":""Analyze timing patterns to validate or challenge the high-confidence malicious volume prediction"",""requested_agent"":""TimingBehaviorAgent""}],""stop"":false}",2014.6022000117227,471,
5eb7b63f7582e7dea29b3468c4d0f341a106a169c76c607d524e8135c8aca070,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
5eb7b63f7582e7dea29b3468c4d0f341a106a169c76c607d524e8135c8aca070,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
98edd467a2b17e34866a273310de502b5fc991c649977a0443a48d553277c057,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
98edd467a2b17e34866a273310de502b5fc991c649977a0443a48d553277c057,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
98edd467a2b17e34866a273310de502b5fc991c649977a0443a48d553277c057,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c0f369ee53d56a6ad8860ba19cf5c833979d96c6a5c99da3a54ce1e8accfef5a,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c0f369ee53d56a6ad8860ba19cf5c833979d96c6a5c99da3a54ce1e8accfef5a,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c0f369ee53d56a6ad8860ba19cf5c833979d96c6a5c99da3a54ce1e8accfef5a,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
9a93962f783f7d0aff4fb5f6aee5e8ae36ac9119d12a519541f196cb553bcebb,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
9a93962f783f7d0aff4fb5f6aee5e8ae36ac9119d12a519541f196cb553bcebb,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
9a93962f783f7d0aff4fb5f6aee5e8ae36ac9119d12a519541f196cb553bcebb,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
f7a61765311074d876cedda7bc6698e2939582cb55a855e191c16a78a5782660,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
f7a61765311074d876cedda7bc6698e2939582cb55a855e191c16a78a5782660,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
f7a61765311074d876cedda7bc6698e2939582cb55a855e191c16a78a5782660,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
02fb60988f27ecd4178afa4bb9eeacff0c1aab0bde2bb4e688d08640efe3d44e,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
02fb60988f27ecd4178afa4bb9eeacff0c1aab0bde2bb4e688d08640efe3d44e,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
02fb60988f27ecd4178afa4bb9eeacff0c1aab0bde2bb4e688d08640efe3d44e,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
90efd31256a3172cbc217d631eec5fa86d9b8e5e8c6c7a47144860b4fb2f679b,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
90efd31256a3172cbc217d631eec5fa86d9b8e5e8c6c7a47144860b4fb2f679b,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
90efd31256a3172cbc217d631eec5fa86d9b8e5e8c6c7a47144860b4fb2f679b,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
934043c9cff1dc8bb44ac38ad3808a17dc9646c82b4394a0fb025da70b1f4ec2,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
934043c9cff1dc8bb44ac38ad3808a17dc9646c82b4394a0fb025da70b1f4ec2,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
934043c9cff1dc8bb44ac38ad3808a17dc9646c82b4394a0fb025da70b1f4ec2,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
1a02dcff7509d074a24f74b8389c968093a21bfd446f02ecabdf72b961926205,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
1a02dcff7509d074a24f74b8389c968093a21bfd446f02ecabdf72b961926205,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
1a02dcff7509d074a24f74b8389c968093a21bfd446f02ecabdf72b961926205,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
497c346dc4a9f5384a4919e85ecb865ec8742bacfed6426ca795b7e24e48c4f0,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
497c346dc4a9f5384a4919e85ecb865ec8742bacfed6426ca795b7e24e48c4f0,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
497c346dc4a9f5384a4919e85ecb865ec8742bacfed6426ca795b7e24e48c4f0,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4d213568203bab044f619402100c9daf3fb1459b8d3b08b08bdcdf9bc3fafc9c,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4d213568203bab044f619402100c9daf3fb1459b8d3b08b08bdcdf9bc3fafc9c,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4d213568203bab044f619402100c9daf3fb1459b8d3b08b08bdcdf9bc3fafc9c,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c67815640f7232ed7bd43c12fa4a74f5cec4b2cfde01c0a181be21f8515af08c,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c67815640f7232ed7bd43c12fa4a74f5cec4b2cfde01c0a181be21f8515af08c,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c67815640f7232ed7bd43c12fa4a74f5cec4b2cfde01c0a181be21f8515af08c,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
920e5358f7d4d4a6d8b2839f3215c5e547b387b1b3d82030b878c08252b4cea0,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
920e5358f7d4d4a6d8b2839f3215c5e547b387b1b3d82030b878c08252b4cea0,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
920e5358f7d4d4a6d8b2839f3215c5e547b387b1b3d82030b878c08252b4cea0,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
208956765e5ae26bc332ae23b668a88a42b3d2fc742cb424cdc713e63e1603a9,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
208956765e5ae26bc332ae23b668a88a42b3d2fc742cb424cdc713e63e1603a9,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
208956765e5ae26bc332ae23b668a88a42b3d2fc742cb424cdc713e63e1603a9,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
29eded3795e191d5b328aef7d4907601e7eb8754107a90296ffff38bcf52a3f9,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
29eded3795e191d5b328aef7d4907601e7eb8754107a90296ffff38bcf52a3f9,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
29eded3795e191d5b328aef7d4907601e7eb8754107a90296ffff38bcf52a3f9,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
0a7ca8d51b97e783998600396cb20019cb23020eef7e832fda30c26e50c625f8,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
0a7ca8d51b97e783998600396cb20019cb23020eef7e832fda30c26e50c625f8,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
0a7ca8d51b97e783998600396cb20019cb23020eef7e832fda30c26e50c625f8,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
762ac3e46d760eeaa85c8714fe8b07257247bab1fa37d2dbe06769c966bfcef3,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
762ac3e46d760eeaa85c8714fe8b07257247bab1fa37d2dbe06769c966bfcef3,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
762ac3e46d760eeaa85c8714fe8b07257247bab1fa37d2dbe06769c966bfcef3,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
fde1354d53b398bf96dc9c71fc1caf48076b1e7814dd5ad3a99faf7bb06de2b5,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
fde1354d53b398bf96dc9c71fc1caf48076b1e7814dd5ad3a99faf7bb06de2b5,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
fde1354d53b398bf96dc9c71fc1caf48076b1e7814dd5ad3a99faf7bb06de2b5,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
a56445095a8e6bbd9fb250f2bfdda75d5601075e34ebf68c6b88f0557c5eb434,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
a56445095a8e6bbd9fb250f2bfdda75d5601075e34ebf68c6b88f0557c5eb434,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
a56445095a8e6bbd9fb250f2bfdda75d5601075e34ebf68c6b88f0557c5eb434,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
25df2a02606e81b1ddd29b72595975f96957b312c6573cabea4a0c9c611177c0,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
25df2a02606e81b1ddd29b72595975f96957b312c6573cabea4a0c9c611177c0,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
25df2a02606e81b1ddd29b72595975f96957b312c6573cabea4a0c9c611177c0,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
adf09320c8350b3836107b5f5157531911d044b6b0f51335b0eda300ff8e6eb1,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
adf09320c8350b3836107b5f5157531911d044b6b0f51335b0eda300ff8e6eb1,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
adf09320c8350b3836107b5f5157531911d044b6b0f51335b0eda300ff8e6eb1,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
0295698d98436deb659e4d9fe5185c1eb624b2723d546dbea73d0efe0a806feb,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
0295698d98436deb659e4d9fe5185c1eb624b2723d546dbea73d0efe0a806feb,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
0295698d98436deb659e4d9fe5185c1eb624b2723d546dbea73d0efe0a806feb,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e6b218c902f90bb3bb8167a5b55637d7219fce9cee6f5671a7e9ab9eea7f3bb7,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e6b218c902f90bb3bb8167a5b55637d7219fce9cee6f5671a7e9ab9eea7f3bb7,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e6b218c902f90bb3bb8167a5b55637d7219fce9cee6f5671a7e9ab9eea7f3bb7,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
6f1d37cc300cbca452f5ae2f953acda1f179a18ec82a9fc80a7cf467ae8686a4,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
6f1d37cc300cbca452f5ae2f953acda1f179a18ec82a9fc80a7cf467ae8686a4,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
6f1d37cc300cbca452f5ae2f953acda1f179a18ec82a9fc80a7cf467ae8686a4,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ee7f8fa2ddebb09bcc1800b3d8d00b3b4534d60b1b1d99d88ff1ad3b2033af65,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ee7f8fa2ddebb09bcc1800b3d8d00b3b4534d60b1b1d99d88ff1ad3b2033af65,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ee7f8fa2ddebb09bcc1800b3d8d00b3b4534d60b1b1d99d88ff1ad3b2033af65,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
5e402f1e4ed3629fd61c1df18f090e6ad72713c46e5de41e93c879b6cc68ae95,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
5e402f1e4ed3629fd61c1df18f090e6ad72713c46e5de41e93c879b6cc68ae95,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
5e402f1e4ed3629fd61c1df18f090e6ad72713c46e5de41e93c879b6cc68ae95,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
1602a45127675126904cd1f7df2ddc1b5bbc9b1e7df2d968fdb2e1c4ce596a57,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
1602a45127675126904cd1f7df2ddc1b5bbc9b1e7df2d968fdb2e1c4ce596a57,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
1602a45127675126904cd1f7df2ddc1b5bbc9b1e7df2d968fdb2e1c4ce596a57,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
b265b27e24bf067fee61c6a6fab169897636821760ea37fe76144d36bb067165,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
b265b27e24bf067fee61c6a6fab169897636821760ea37fe76144d36bb067165,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
b265b27e24bf067fee61c6a6fab169897636821760ea37fe76144d36bb067165,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e49b20cc1bd5c05e1e2e24884417fd2de9e6b33f3d3f2f61db20b6f9efc75b94,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e49b20cc1bd5c05e1e2e24884417fd2de9e6b33f3d3f2f61db20b6f9efc75b94,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e49b20cc1bd5c05e1e2e24884417fd2de9e6b33f3d3f2f61db20b6f9efc75b94,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
825607f9f8bf7b66b177b08270ce3ba598a333d954ee7aada17cb1e715b1131a,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
825607f9f8bf7b66b177b08270ce3ba598a333d954ee7aada17cb1e715b1131a,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
825607f9f8bf7b66b177b08270ce3ba598a333d954ee7aada17cb1e715b1131a,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
68cc29f8d2cf8e25cd56f623f811dcf3a994d061aba04936803db1107dc2140f,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
68cc29f8d2cf8e25cd56f623f811dcf3a994d061aba04936803db1107dc2140f,CICIoT2023,2,True,True,"{""requests"":[{""budget"":1,""expected_output"":""AgentEvidence"",""purpose"":""Analyze inter-arrival timing patterns and burst characteristics to complement volume-based assessment"",""requested_agent"":""TimingBehaviorAgent""}],""stop"":false}",2253.809900023043,467,HTTPError
68cc29f8d2cf8e25cd56f623f811dcf3a994d061aba04936803db1107dc2140f,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c7e6b1d83ef77da59f3a789b5e6295be69405e31a378d3bc239da1a7baf92e65,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c7e6b1d83ef77da59f3a789b5e6295be69405e31a378d3bc239da1a7baf92e65,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
c7e6b1d83ef77da59f3a789b5e6295be69405e31a378d3bc239da1a7baf92e65,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
cc5dae475cb00b0af155a427121c64ec3d47a3628e3507f9307fa0c81f2a7b9e,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
cc5dae475cb00b0af155a427121c64ec3d47a3628e3507f9307fa0c81f2a7b9e,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
cc5dae475cb00b0af155a427121c64ec3d47a3628e3507f9307fa0c81f2a7b9e,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e0b9d7b6b144258e7b4fdf9b740f6ce24baa87d5caa42043a8a6bc7de52d183c,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e0b9d7b6b144258e7b4fdf9b740f6ce24baa87d5caa42043a8a6bc7de52d183c,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
e0b9d7b6b144258e7b4fdf9b740f6ce24baa87d5caa42043a8a6bc7de52d183c,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
bc390470363fff1dee26afce8ef508500c9c8020098279eed239f5d18341d5e7,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
bc390470363fff1dee26afce8ef508500c9c8020098279eed239f5d18341d5e7,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
bc390470363fff1dee26afce8ef508500c9c8020098279eed239f5d18341d5e7,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
