cross_dataset_stability,dataset_occurrence_count,feature_name
not_available,1,native.fwd_packet_length_max
not_available,1,native.fwd_packet_length_mean
not_available,1,native.fwd_packet_length_min
not_available,1,native.fwd_packet_length_std
not_available,1,native.fwd_packets_s
not_available,1,native.fwd_psh_flags
not_available,1,native.fwd_urg_flags
not_available,1,native.icmp_ipv4_type
not_available,1,native.icmp_type
not_available,1,native.idle_max
not_available,1,native.idle_mean
not_available,1,native.idle_min
not_available,1,native.idle_std
not_available,1,native.in_bytes
not_available,1,native.in_pkts
not_available,1,native.init_win_bytes_backward
not_available,1,native.init_win_bytes_forward
not_available,1,native.l7_proto
not_available,1,native.longest_flow_pkt
not_available,1,native.max_ip_pkt_len
not_available,1,native.max_packet_length
not_available,1,native.max_ttl
not_available,1,native.min_ip_pkt_len
not_available,1,native.min_packet_length
not_available,1,native.min_seg_size_forward
not_available,1,native.min_ttl
not_available,1,native.num_pkts_1024_to_1514_bytes
not_available,1,native.num_pkts_128_to_256_bytes
not_available,1,native.num_pkts_256_to_512_bytes
not_available,1,native.num_pkts_512_to_1024_bytes
not_available,1,native.num_pkts_up_to_128_bytes
not_available,1,native.out_bytes
not_available,1,native.out_pkts
not_available,1,native.packet_length_mean
not_available,1,native.packet_length_std
not_available,1,native.packet_length_variance
not_available,1,native.protocol
not_available,1,native.psh_flag_count
not_available,1,native.retransmitted_in_bytes
not_available,1,native.retransmitted_in_pkts
not_available,1,native.retransmitted_out_bytes
not_available,1,native.retransmitted_out_pkts
not_available,1,native.rst_flag_count
not_available,1,native.server_tcp_flags
not_available,1,native.shortest_flow_pkt
not_available,1,native.src_to_dst_avg_throughput
not_available,1,native.src_to_dst_second_bytes
not_available,1,native.subflow_bwd_bytes
not_available,1,native.subflow_bwd_packets
not_available,1,native.subflow_fwd_bytes
not_available,1,native.subflow_fwd_packets
not_available,1,native.syn_flag_count
not_available,1,native.tcp_flags
not_available,1,native.tcp_win_max_in
not_available,1,native.tcp_win_max_out
not_available,1,native.total_backward_packets
not_available,1,native.total_fwd_packets
not_available,1,native.total_length_of_bwd_packets
not_available,1,native.total_length_of_fwd_packets
not_available,1,native.urg_flag_count
not_available,8,provenance.capture_id
not_available,8,provenance.capture_path
not_available,8,provenance.dataset
not_available,8,provenance.source_file
not_available,8,sample_id
not_available,1,sequence.direction_change_rate
not_available,3,sequence.directions
not_available,1,sequence.iat_max
not_available,1,sequence.iat_mean
not_available,1,sequence.iat_std
not_available,3,sequence.iats
not_available,1,sequence.length_max
not_available,1,sequence.length_mean
not_available,1,sequence.length_min
not_available,1,sequence.length_std
not_available,1,sequence.length_sum
not_available,1,sequence.packet_count
not_available,3,sequence.packet_lengths
not_available,1,sequence.sequence_length
not_available,1,sequence.short_flow_flag
not_available,1,sequence.signed_length_mean
not_available,1,sequence.signed_length_std
not_available,5,stats.duration
not_available,5,stats.inbound_bytes
not_available,5,stats.mean_packet_length
not_available,5,stats.outbound_bytes
not_available,5,stats.outbound_ratio
not_available,5,stats.packet_count
not_available,3,stats.packet_length_variance
not_available,1,stats.ppi_duration
not_available,1,stats.ppi_negative_ipt_count
not_available,1,stats.ppi_roundtrips
not_available,5,stats.total_bytes
not_available,2,tls.alpn
not_available,1,tls.cipher_suite
not_available,2,tls.client_cipher_count
not_available,2,tls.client_extension_count
not_available,1,tls.client_version
not_available,1,tls.handshake_complete
not_available,2,tls.record_lengths
not_available,1,tls.record_mask
not_available,1,tls.selected_cipher
not_available,2,tls.server_extension_count
not_available,2,tls.server_version
not_available,1,tls.version
not_available,8,trace_id
